"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"91","Tempo Run","ph16",2016-10-28,"Oct",16,28,"Friday","Workout","Workout","Tempo",2017-12-30 16:59:00,2017-12-30 01:10:32,10.01,143,168,154,209,2017-12-30 00:07:03,2017-12-30 00:01:39,374,324,1.48
"92","GA Run","ph16",2016-10-29,"Oct",16,29,"Saturday","GA","Run","NA",2017-12-30 10:09:00,2017-12-30 00:52:25,7,144,161,185,202,2017-12-30 00:07:29,2017-12-30 00:06:31,259,248,1.16
"93","Long Run","ph16",2016-10-30,"Oct",16,30,"Sunday","Long","Long","NA",2017-12-30 09:13:00,2017-12-30 02:42:53,22,140,155,167,203,2017-12-30 00:07:24,2017-12-30 00:03:01,778,768,1.3
"94","Recovery Run","ph16",2016-10-31,"Oct",16,31,"Monday","Recovery","Recovery","NA",2017-12-30 16:41:00,2017-12-30 00:30:50,4,113,129,179,191,2017-12-30 00:07:42,2017-12-30 00:06:47,NA,NA,1.16
"95","VO2 Run","ph16",2016-11-01,"Nov",16,1,"Tuesday","Workout","Workout","vO2 Max",2017-12-30 16:27:00,2017-12-30 01:13:46,10.01,144,170,176,227,2017-12-30 00:07:22,2017-12-30 00:04:52,332,301,1.24
"96","ML Run","ph16",2016-11-02,"Nov",16,2,"Wednesday","ML","Run","NA",2017-12-30 05:11:00,2017-12-30 01:46:49,14.01,143,192,168,202,2017-12-30 00:07:38,2017-12-30 00:05:59,539,516,1.26
"97","Recovery Run","ph16",2016-11-03,"Nov",16,3,"Thursday","Recovery","Recovery","NA",2017-12-30 16:55:00,2017-12-30 00:50:54,6.52,136,149,166,201,2017-12-30 00:07:49,2017-12-30 00:06:16,224,162,1.24
"98","Recovery Run","ph16",2016-11-04,"Nov",17,4,"Friday","Recovery","Recovery","NA",2017-12-30 18:03:00,2017-12-30 00:51:08,6.51,138,173,174,202,2017-12-30 00:07:52,2017-12-30 00:06:24,289,287,1.18
"99","10k Tune Up Run","ph16",2016-11-05,"Nov",17,5,"Saturday","Workout","Workout","Tune Up Race",2017-12-30 10:19:00,2017-12-30 01:02:08,9.01,150,189,186,217,2017-12-30 00:06:54,2017-12-30 00:05:09,143,153,1.25
"100","Long Run","ph16",2016-11-06,"Nov",17,6,"Sunday","Long","Long","NA",2017-12-30 10:01:00,2017-12-30 01:59:07,17.01,149,199,148,202,2017-12-30 00:07:00,2017-12-30 00:05:18,618,619,1.55
"101","Recovery Run","ph16",2016-11-07,"Nov",17,7,"Monday","Recovery","Recovery","NA",2017-12-30 16:56:00,2017-12-30 00:30:41,4.01,122,139,178,193,2017-12-30 00:07:40,2017-12-30 00:06:14,NA,NA,1.18
"102","GA Run","ph16",2016-11-08,"Nov",17,8,"Tuesday","GA","Run","NA",2017-12-30 16:48:00,2017-12-30 00:52:18,7,140,154,169,194,2017-12-30 00:07:28,2017-12-30 00:05:51,307,270,1.27
"103","Recovery Run","ph16",2016-11-09,"Nov",17,9,"Wednesday","Recovery","Recovery","NA",2017-12-30 16:32:00,2017-12-30 00:45:30,6.01,135,160,172,211,2017-12-30 00:07:35,2017-12-30 00:06:00,241,213,1.23
"104","Recovery Run","ph16",2016-11-10,"Nov",17,10,"Thursday","Recovery","Recovery","NA",2017-12-30 17:15:00,2017-12-30 00:37:11,5,121,138,180,238,2017-12-30 00:07:26,2017-12-30 00:05:33,NA,NA,1.2
"105","VO2 Run","ph16",2016-11-11,"Nov",18,11,"Friday","Workout","Workout","vO2 Max",2017-12-30 05:55:00,2017-12-30 00:57:19,8.01,148,167,185,227,2017-12-30 00:07:09,2017-12-30 00:04:59,280,208,1.21
"106","GA Run","ph16",2016-11-12,"Nov",18,12,"Saturday","GA","Run","NA",2017-12-30 12:47:00,2017-12-30 00:49:54,7,144,154,185,199,2017-12-30 00:07:08,2017-12-30 00:06:07,254,241,1.22
"107","ML Run","ph16",2016-11-13,"Nov",18,13,"Sunday","ML","Run","NA",2017-12-30 10:42:00,2017-12-30 01:24:46,12,145,158,185,237,2017-12-30 00:07:04,2017-12-30 00:05:16,467,442,1.23
"108","Recovery Run","ph16",2016-11-14,"Nov",18,14,"Monday","Recovery","Recovery","NA",2017-12-30 17:11:00,2017-12-30 00:16:19,2.06,70,118,172,189,2017-12-30 00:07:55,2017-12-30 00:06:59,NA,NA,1.18
"109","GA Run","ph16",2016-11-15,"Nov",18,15,"Tuesday","GA","Run","NA",2017-12-30 05:55:00,2017-12-30 00:58:14,8,145,162,186,205,2017-12-30 00:07:17,2017-12-30 00:05:41,334,301,1.19
"110","Recovery Run","ph16",2016-11-16,"Nov",18,16,"Wednesday","Recovery","Recovery","NA",2017-12-30 12:07:00,2017-12-30 00:38:49,5.01,135,164,180,191,2017-12-30 00:07:45,2017-12-30 00:06:21,140,125,1.15
"111","GA Run","ph16",2016-11-17,"Nov",18,17,"Thursday","GA","Run","NA",2017-12-30 06:01:00,2017-12-30 00:50:42,7,145,195,186,238,2017-12-30 00:07:14,2017-12-30 00:04:52,276,251,1.19
"112","Recovery Run","ph16",2016-11-18,"Nov",19,18,"Friday","Recovery","Recovery","NA",2017-12-30 17:22:00,2017-12-30 00:42:10,5,133,148,174,189,2017-12-30 00:08:26,2017-12-30 00:07:07,238,243,1.1
